time,high
1061,7.47
1062,7.574
1063,7.754
1064,8.014
1065,8.304
1066,8.56
1067,8.749
1068,8.877
1069,8.957
1070,8.987
1071,9.033
1072,9.14
1073,9.311
1074,9.503
1075,9.68
1076,9.799
1077,9.854
1078,9.878
1079,9.952
1080,10.083
1081,10.211
1082,10.312
1083,10.376
1084,10.455
1085,10.55
1086,10.657
1087,10.773
1088,10.91
1089,11.008
1090,11.072
1091,11.145
1092,11.227
1093,11.282
1094,11.297
1095,11.316
1096,11.352
1097,11.395
1098,11.456
1099,11.539
1100,11.63
1101,11.703
1102,11.767
1103,11.85
1104,11.96
1105,12.1
1106,12.241
1107,12.381
1108,12.479
1109,12.561
1110,12.573
1111,12.591
1112,12.598
1113,12.579
1114,12.534
1115,12.53
1116,12.543
1117,12.537
1118,12.549
1119,12.555
1120,12.555
1121,12.53
1122,12.53
1123,12.534
1124,12.527
1125,12.524
1126,12.485
1127,12.442
1128,12.424
1129,12.436
1130,12.479
1131,12.5
1132,12.5
1133,12.488
1134,12.497
1135,12.546
1136,12.616
1137,12.665
1138,12.689
1139,12.68
1140,12.649
1141,12.613
1142,12.57
1143,12.524
1144,12.491
1145,12.479
1146,12.485
1147,12.518
1148,12.558
1149,12.598
1150,12.595
1151,12.576
1152,12.57
1153,12.576
1154,12.579
1155,12.585
1156,12.598
1157,12.598
1158,12.598
1159,12.604
1160,12.607
1161,12.549
1162,12.485
1163,12.436
1164,12.408
1165,12.408
1166,12.402
1167,12.418
1168,12.436
1169,12.466
1170,12.485
1171,12.482
1172,12.457
1173,12.396
1174,12.363
1175,12.338
1176,12.326
1177,12.302
1178,12.28
1179,12.256
1180,12.198
1181,12.183
1182,12.161
1183,12.115
1184,12.048
1185,11.969
1186,11.914
1187,11.887
1188,11.85
1189,11.798
1190,11.743
1191,11.694
1192,11.652
1193,11.633
1194,11.624
1195,11.615
1196,11.612
1197,11.581
1198,11.545
1199,11.545
1200,11.569
1201,11.584
1202,11.584
1203,11.569
1204,11.526
1205,11.49
1206,11.471
1207,11.478
1208,11.478
1209,11.462
1210,11.459
1211,11.456
1212,11.447
1213,11.417
1214,11.38
1215,11.294
1216,11.236
1217,11.194
1218,11.163
1219,11.157
1220,11.145
1221,11.157
1222,11.191
1223,11.227
1224,11.261
1225,11.294
1226,11.291
1227,11.255
1228,11.191
1229,11.096
1230,10.953
1231,10.757
1232,10.553
1233,10.422
1234,10.391
1235,10.422
1236,10.464
1237,10.467
1238,10.419
1239,10.358
